Designator,Footprint,Quantity,Value,LCSC Part #
15UH1,0402,1,15uH,C285676
AE1,PinSocket_1x01_P2.54mm_Vertical,1,Antenna,
"C1,C10,C11,C12,C13,C15,C2,C26,C5,C6,C7,C8,C9",0402,13,100nF,C1525
"C14,C4",0402,2,1uF,C52923
C16,0402,1,47nF,C1532
C17,0402,1,47pF,C1549
C18,0402,1,1nF,C1522
C19,0402,1,39pF,C1548
"C20,C21,C22,C23",0402,4,3.3pF,C1546
"C24,C25",0402,2,10uF,C15525
C3,0402,1,470nF,C1779
FB1,0402,1,FerriteBead_Small,C8589
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039,C284439
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
L1,0402,1,47nH,C284438
L3,0402,1,9.1nH,C284437
R1,0402,1,10k,C25804
"R10,R9",0402,2,4.7k,C25867
"R2,R3",0402,2,27.4,C23154
"R4,R6",0402,2,1k,C11702
R5,0402,1,100,C25086
"R7,R8",0402,2,5.1k,C25905
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOTSEL,C318884
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,C318884
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,C967207
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-363_SC-70-6,1,PE4259,C285440
U5,SOT-23-5,1,AP2112K-3.3,C15630
U6,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,1,SHTC3,C2844388
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,C9003
Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,12MHz,C9002
