Designator,Mid X,Mid Y,Rotation,Layer
15UH1,100.0,-95.8,0.0,top
AE1,100.0,-118.8,270.0,top
C1,84.0,-103.52,270.0,top
C10,89.0,-112.97,90.0,top
C11,89.0,-101.0,270.0,top
C12,94.0,-101.0,270.0,top
C13,92.0,-100.98,270.0,top
C14,93.0,-101.0,270.0,top
C15,94.0,-104.5,180.0,top
C16,104.47,-104.78,90.0,top
C17,103.5,-104.78,90.0,top
C18,96.5,-109.0,90.0,top
C19,99.5,-111.8,270.0,top
C2,94.0,-102.5,0.0,top
C20,100.0,-113.3,180.0,top
C21,100.0,-116.3,180.0,top
C22,85.5,-117.01,0.0,top
C23,83.0,-114.01,270.0,top
C24,96.0,-89.0,0.0,top
C25,100.11,-91.395,90.0,top
C26,80.92,-111.8,0.0,top
C3,100.5,-97.3,180.0,top
C4,94.0,-103.5,0.0,top
C5,103.0,-102.0,270.0,top
C6,89.98,-97.49,180.0,top
C7,98.02,-97.3,0.0,top
C8,83.5,-107.99,0.0,top
C9,96.5,-106.5,180.0,top
FB1,88.61,-88.895,0.0,top
FL1,99.5,-106.3,270.0,top
J1,93.11,-83.395,180.0,top
L1,101.5,-104.3,180.0,top
L3,99.5,-114.8,270.0,top
R1,92.5,-113.5,180.0,top
R10,81.09,-106.4,0.0,top
R2,90.0,-101.0,90.0,top
R3,91.0,-101.0,90.0,top
R4,80.0,-95.01,90.0,top
R5,97.5,-109.0,270.0,top
R6,88.0,-113.0,90.0,top
R7,94.61,-89.395,270.0,top
R8,91.11,-89.395,270.0,top
R9,81.09,-105.4,180.0,top
SW1,84.5,-93.0,180.0,top
SW2,90.5,-117.5,90.0,top
U1,99.65,-100.65,270.0,top
U2,88.8,-106.79,90.0,top
U3,83.4125,-98.905,270.0,top
U4,99.5,-109.25,90.0,top
U5,97.5,-92.0,90.0,top
U6,80.675,-109.9,180.0,top
Y1,105.35,-99.4,270.0,top
Y2,85.5,-114.0,90.0,top
